Volume,Descrição do Volume,Rótulo,Pasta 1,Pasta 2,Nome do arquivo,Tamanho em bytes
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0019x_SMS23_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0021x_SMS25_20110817_210000.wav,345600512
